trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
51,0,51,0,97.34254129999317,,97.31127329998708,5,97.34254129999317,97.34254129999317,0.020146299997577444,98.3518994999904,99.03763489999983,[0.17083333333333334],[-0.4216666666666667],[1],[0],[0],[1.7063112999894656],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
52,0,52,0,99.07156559999567,,99.04166049999185,5,99.07156559999567,99.07156559999567,0.020491000002948567,100.08623369999987,100.87016719998792,[0.4083333333333333],[0.38666666666666666],[1],[0],[0],[1.8082632000005106],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
53,0,53,0,100.92667219998839,,100.87422729999525,10,100.92667219998839,100.92667219998839,0.03547180000168737,101.94782619999023,103.09449449999374,[-0.1825],[-0.10333333333333333],[1],[0],[0],[2.1850948999926914],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
54,0,54,0,103.15271249999932,,103.09921519999625,10,103.15271249999932,103.15271249999932,0.03206070000305772,104.16329079998832,105.23778179999499,[-0.08333333333333333],[-0.25416666666666665],[1],[0],[0],[2.1069191000133287],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
55,0,55,0,105.26873830000113,,105.2407639999874,5,105.26873830000113,105.26873830000113,0.01894249999895692,106.2695076999953,106.7882738999906,[-0.4725],[0.08666666666666667],[1],[0],[0],[1.5286344999913126],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
56,0,56,0,106.82304239999212,,106.7923768999899,5,106.82304239999212,106.82304239999212,0.02104180000605993,107.83635289999074,108.55589289999625,[0.3958333333333333],[-0.3308333333333333],[1],[0],[0],[1.7426057999982731],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
57,0,57,0,108.59087859999272,,108.55980659999477,5,108.59087859999272,108.59087859999272,0.021077299999888055,109.60282409998763,110.12164279998979,[-0.058333333333333334],[0.2375],[1],[0],[0],[1.5411118000047281],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
58,0,58,0,110.15939979998802,,110.1250788999896,5,110.15939979998802,110.15939979998802,0.02286650000314694,111.16822300000058,111.80391869999585,[0.06833333333333333],[-0.315],[1],[0],[0],[1.6561516000074334],[],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
59,0,59,0,111.86066199999186,,111.8081128999911,10,111.86066199999186,111.86066199999186,0.035889799997676164,112.87393879999581,113.2552052999963,[0.4241666666666667],[-0.43416666666666665],[1],[0],[0],[1.4116295000130776],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
60,0,60,0,113.31363499999861,,113.25833609999972,10,113.31363499999861,113.31363499999861,0.03467340000497643,114.33310019999044,115.63309099999606,[-0.02],[-0.4891666666666667],[1],[0],[0],[2.340210099995602],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
61,0,61,0,115.66679589998967,,115.63753069999802,5,115.66679589998967,115.66679589998967,0.020226099994033575,116.66965039999923,117.37088719999883,[-0.3233333333333333],[0.31],[1],[0],[0],[1.7133960999926785],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
62,0,62,0,117.40496390000044,,117.37491269999009,5,117.40496390000044,117.40496390000044,0.020590600004652515,118.41996639998979,118.7368923999893,[0.06583333333333333],[0.1475],[1],[0],[0],[1.3416769000032218],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
63,0,63,0,118.79290749999927,,118.74075739999535,10,118.79290749999927,118.79290749999927,0.03522700000030454,119.81275779999851,120.31575939999311,[-0.05583333333333333],[-0.38666666666666666],[1],[0],[0],[1.5400454999908106],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
